,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
32757,1,7,5.0,7,1.0,15.0,1.0,2,1,Serious,445415.335,4466893.346,2,1,7,23,40.35081200748028,-3.64276564779466
36489,1,19,11.0,6,1.0,5.0,1.0,5,1,Slight,441212.799,4466927.57,2,2,6,36,40.35083472976903,-3.6922527646402536
36490,1,19,11.0,6,1.0,5.0,3.0,3,1,Serious,441212.799,4466927.57,2,2,6,36,40.35083472976903,-3.6922527646402536
6922,1,19,11.0,6,1.0,5.0,1.0,4,1,Slight,441407.965,4467019.654,2,2,4,14,40.35167800926013,-3.689963186413512
6923,1,19,11.0,6,1.0,5.0,3.0,3,1,Slight,441407.965,4467019.654,2,2,4,14,40.35167800926013,-3.689963186413512
9772,1,19,11.0,6,1.0,5.0,1.0,3,1,Slight,441411.842,4467023.009,2,2,2,20,40.35170850543605,-3.6899178431119455
9773,1,19,11.0,6,1.0,5.0,3.0,4,1,Slight,441411.842,4467023.009,2,2,2,20,40.35170850543605,-3.6899178431119455
33307,1,19,11.0,6,1.0,6.0,1.0,3,1,Slight,441418.888,4467015.311,2,5,7,25,40.35163965211083,-3.6898341704278392
33308,1,19,11.0,6,1.0,6.0,2.0,3,2,Slight,441418.888,4467015.311,2,5,7,25,40.35163965211083,-3.6898341704278392
33309,1,19,11.0,6,1.0,5.0,1.0,3,2,Slight,441418.888,4467015.311,2,5,7,25,40.35163965211083,-3.6898341704278392
33310,1,19,11.0,6,1.0,5.0,2.0,4,2,Slight,441418.888,4467015.311,2,5,7,25,40.35163965211083,-3.6898341704278392
33311,1,19,11.0,6,1.0,5.0,3.0,3,2,Serious,441418.888,4467015.311,2,5,7,25,40.35163965211083,-3.6898341704278392
49474,1,19,11.0,6,1.0,5.0,1.0,4,1,Slight,440705.54,4467156.75,2,2,2,21,40.352863413390665,-3.6982469038975694
49475,1,19,11.0,6,1.0,5.0,3.0,4,1,Serious,440705.54,4467156.75,2,2,2,21,40.352863413390665,-3.6982469038975694
11665,2,19,11.0,6,1.0,5.0,1.0,3,1,Slight,441178.873,4467207.177,2,2,3,23,40.35335120393062,-3.69267800755148
11666,2,19,11.0,6,1.0,5.0,3.0,1,1,Serious,441178.873,4467207.177,2,2,3,23,40.35335120393062,-3.69267800755148
29366,2,19,11.0,6,1.0,6.0,1.0,3,1,Slight,441984.366,4467245.577,2,2,1,7,40.35375355087663,-3.683196651062715
29367,2,19,11.0,6,1.0,6.0,3.0,3,2,Serious,441984.366,4467245.577,2,2,1,7,40.35375355087663,-3.683196651062715
31781,1,19,11.0,0,1.0,5.0,1.0,4,2,Slight,441987.013,4467237.598,2,1,2,18,40.35368185530084,-3.6831647564687406
13101,1,17,11.0,0,1.0,4.0,1.0,3,1,Serious,441944.326,4467252.66,2,2,1,26,40.35381457279848,-3.6836687778698103
13102,1,17,11.0,0,1.0,5.0,1.0,2,1,Slight,441944.326,4467252.66,2,2,1,26,40.35381457279848,-3.6836687778698103
21277,2,9,11.0,10,1.0,5.0,1.0,3,2,Slight,439478.785,4467329.571,1,1,2,43,40.35433217026401,-3.712708417298564
32853,2,16,11.0,10,1.0,5.0,1.0,3,1,Serious,439470.807,4467327.483,2,1,3,24,40.35431278146382,-3.712802162662176
24395,2,17,11.0,6,3.0,5.0,1.0,2,1,Slight,441146.588,4467335.89,1,3,6,48,40.35450844911982,-3.693070041232076
24396,2,17,11.0,6,3.0,5.0,2.0,2,2,Slight,441146.588,4467335.89,2,3,6,48,40.35450844911982,-3.693070041232076
24397,2,17,11.0,6,3.0,5.0,3.0,1,1,Serious,441146.588,4467335.89,2,3,6,48,40.35450844911982,-3.693070041232076
